TimePoint,Site,NMDS1,NMDS2,EucDist
T3,Almirante,-0.306594743,-0.033537761,0.167343967
T5,Almirante,-0.135356795,-0.085482702,0.085651428
T6,Almirante,-0.12224996,0.007107599,0.021618388
T7,Almirante,-0.204110275,-0.01190595,0.062608462
T8,Almirante,-0.163786016,-0.068437233,0.071503013
T9,Almirante,-0.289175235,-0.150469048,0.209947963
T3,Caracol,-0.088762085,-0.321867048,0.081783543
T5,Caracol,-0.086887893,-0.524305377,0.170064365
T6,Caracol,-0.126952595,-0.535376831,0.198509074
T7,Caracol,-0.214033967,-0.518682972,0.245213835
T8,Caracol,-0.290524955,-0.514207302,0.306903088
T9,Caracol,-0.160692687,-0.346673693,0.141314754
T3,Cayo Roldan,-0.001963686,0.133212287,0.147401016
T5,Cayo Roldan,-0.105653216,0.164159064,0.08114415
T6,Cayo Roldan,-0.118465374,0.214208309,0.036877672
T7,Cayo Roldan,-0.04466135,0.254408296,0.054266109
T8,Cayo Roldan,-0.062732407,0.154327942,0.097278574
T9,Cayo Roldan,-0.170256856,0.26625548,0.075239281
T3,Coral Cay,0.456544343,0.120782413,0.077612241
T5,Coral Cay,0.488638192,0.206441594,0.162823087
T6,Coral Cay,0.427240092,0.118198275,0.085742881
T7,Coral Cay,0.401079787,0.194604732,0.165605477
T8,Coral Cay,0.305063624,-0.000815938,0.172184504
T9,Coral Cay,0.278958949,0.170314983,0.229687778
T3,Hospital Point,0.33768758,-0.139570366,0.058042817
T5,Hospital Point,0.424171415,-0.125093267,0.14572376
T6,Hospital Point,0.379601901,-0.063075253,0.131876307
T7,Hospital Point,0.398788585,-0.265692412,0.165202351
T8,Hospital Point,0.21268906,-0.282811418,0.148974608
T9,Hospital Point,0.019545777,-0.413020395,0.370437118
T3,Mainland,-0.096000108,0.364649588,0.176119994
T5,Mainland,-0.222837046,0.439528926,0.197657106
T6,Mainland,-0.276688643,0.106600866,0.145807564
T7,Mainland,-0.21070265,0.393098659,0.151667772
T8,Mainland,-0.212645154,0.175443226,0.067123043
T9,Mainland,-0.353299928,0.189592803,0.14107458
T3,Pastores,-0.514528478,0.236679415,0.09519309
T5,Pastores,-0.545920404,0.231037188,0.063758249
T6,Pastores,-0.557646702,0.198486982,0.062397366
T7,Pastores,-0.567927357,0.278591236,0.06182161
T8,Pastores,-0.486567636,0.175627865,0.135784221
T9,Pastores,-0.491790906,0.249229193,0.118974482
T3,Popa,0.59822418,0.094764809,0.172232753
T5,Popa,0.583653391,0.250357755,0.185042489
T6,Popa,0.559654516,0.07954416,0.141775797
T7,Popa,0.515013032,0.146107987,0.082170238
T9,Popa,0.424523069,0.504281806,0.361324478
T3,Punta Juan,0.067659237,0.047180539,0.043883074
T5,Punta Juan,0.123912946,0.031561103,0.048929237
T6,Punta Juan,0.107084743,0.099905445,0.097299625
T7,Punta Juan,0.122390176,0.113599401,0.114997707
T8,Punta Juan,0.019211983,0.020986798,0.064892632
T9,Punta Juan,0.043424639,-0.026827218,0.050766028
T3,STRI,-0.471060921,-0.101597201,0.088569096
T5,STRI,-0.406346167,-0.155179543,0.05788835
T6,STRI,-0.494516503,-0.180930186,0.04148663
T7,STRI,-0.370940463,-0.183588715,0.082919629
T8,STRI,-0.368902339,-0.237303176,0.097877817
T9,STRI,-0.502762645,-0.32232839,0.142577817
T3,Salt Creek,0.427480012,-0.048665021,0.058672268
T5,Salt Creek,0.489914754,-0.054697454,0.057794024
T6,Salt Creek,0.444665846,-0.2244056,0.124225408
T7,Salt Creek,0.421645759,-0.102312839,0.033189439
T8,Salt Creek,0.273281477,-0.183349633,0.199484722
T9,Salt Creek,0.317684663,-0.314918312,0.25442716