Site,Time Point,Fleshy Organism Cover,Fire Coral ,Branching Porites Cover
Almirante,T0,16,0,0
Almirante,T0,21,0,1
Almirante,T0,42,0,0
Almirante,T0,26,0,0
Almirante,T0,21,0,0
Almirante,T0,19,0,0
Almirante,T0,32,0,0
Almirante,T0,23,0,0
Almirante,T0,28,0,0
Almirante,T0,54,0,0
Almirante,T0,48,0,0
Almirante,T0,48,0,0
Almirante,T0,39,0,0
Almirante,T0,50,0,0
Almirante,T0,31,0,0
Almirante,T0,34,0,0
Almirante,T0,34,0,0
Almirante,T0,45,0,0
Almirante,T0,37,0,0
Almirante,T0,56,0,0
Caracol,T0,34,0,0
Caracol,T0,23,0,0
Caracol,T0,38,0,1
Caracol,T0,15,0,4
Caracol,T0,21,0,17
Caracol,T0,24,0,0
Caracol,T0,51,0,0
Caracol,T0,0,0,57
Caracol,T0,10,0,0
Caracol,T0,34,0,0
Caracol,T0,1,0,1
Coral Cay,T0,57,0,3
Coral Cay,T0,68,0,0
Coral Cay,T0,86,0,1
Coral Cay,T0,67,0,0
Coral Cay,T0,6,1,0
Coral Cay,T0,86,0,2
Coral Cay,T0,87,2,6
Coral Cay,T0,48,12,61
Coral Cay,T0,69,3,28
Coral Cay,T0,73,0,29
Coral Cay,T0,54,3,3
Pastores,T0,8,0,0
Pastores,T0,53,0,0
Pastores,T0,33,0,0
Pastores,T0,23,0,0
Pastores,T0,21,0,0
Pastores,T0,22,0,0
Pastores,T0,57,0,0
Pastores,T0,46,0,0
Pastores,T0,58,0,0
Pastores,T0,57,0,0
Pastores,T0,49,0,34
Popa,T0,60,8,3
Popa,T0,55,2,3
Popa,T0,29,4,1
Popa,T0,41,3,1
Popa,T0,40,17,0
Popa,T0,51,1,0
Popa,T0,35,14,0
Popa,T0,50,4,6
Popa,T0,60,0,0
Popa,T0,8,4,0
Popa,T0,65,0,1
Punta Juan,T0,81,0,0
Punta Juan,T0,57,0,0
Punta Juan,T0,67,1,14
Punta Juan,T0,41,0,0
Punta Juan,T0,43,0,0
Punta Juan,T0,27,0,0
Punta Juan,T0,9,1,0
Punta Juan,T0,12,5,0
Punta Juan,T0,16,3,0
Punta Juan,T0,40,8,7
Punta Juan,T0,16,0,18
Salt Creek,T0,16,0,1
Salt Creek,T0,17,38,1
Salt Creek,T0,14,47,5
Salt Creek,T0,10,55,1
Salt Creek,T0,34,44,0
Salt Creek,T0,16,8,8
Salt Creek,T0,7,17,2
Salt Creek,T0,53,0,0
Salt Creek,T0,41,11,2
Salt Creek,T0,65,0,4
Salt Creek,T0,40,1,1
STRI,T0,34,6,1
STRI,T0,44,14,3
STRI,T0,44,4,1
STRI,T0,10,2,4
STRI,T0,81,0,2
STRI,T0,50,7,4
STRI,T0,18,0,26
STRI,T0,16,0,5
STRI,T0,33,0,23
STRI,T0,31,0,2
Cayo Roldan,T1,26,0,0
Cayo Roldan,T1,36,12,0
Cayo Roldan,T1,16,0,0
Cayo Roldan,T1,12,8,0
Cayo Roldan,T1,42,0,0
Cayo Roldan,T1,26,0,0
Cayo Roldan,T1,16,2,0
Cayo Roldan,T1,40,4,0
Cayo Roldan,T1,40,0,0
Cayo Roldan,T1,22,2,0
Cayo Roldan,T1,20,6,0
Hospital Point,T1,26,0,1
Hospital Point,T1,12,14,1
Hospital Point,T1,0,0,0
Hospital Point,T1,28,0,0
Hospital Point,T1,22,0,0
Hospital Point,T1,14,0,0
Hospital Point,T1,30,4,0
Hospital Point,T1,34,0,3
Hospital Point,T1,48,0,0
Hospital Point,T1,42,10,2
Hospital Point,T1,28,0,2
Mainland,T1,36,0,4
Mainland,T1,16,0,3
Mainland,T1,56,0,2
Mainland,T1,20,0,7
Mainland,T1,50,0,0
Mainland,T1,32,0,3
Mainland,T1,32,0,0
Mainland,T1,22,0,2
Mainland,T1,34,0,2
Mainland,T1,30,0,0
Mainland,T1,10,0,2
Cayo Roldan,T3,34,0,1
Cayo Roldan,T3,40,6,2
Cayo Roldan,T3,10,0,0
Cayo Roldan,T3,16,0,0
Cayo Roldan,T3,30,0,0
Cayo Roldan,T3,20,0,2
Cayo Roldan,T3,14,0,0
Cayo Roldan,T3,20,6,0
Cayo Roldan,T3,20,0,3
Cayo Roldan,T3,8,0,16
Cayo Roldan,T3,14,8,2
Almirante,T3,20,0,4
Almirante,T3,13,0,0
Almirante,T3,52,0,4
Almirante,T3,14,0,12
Almirante,T3,15,0,0
Almirante,T3,9,0,2
Almirante,T3,28,0,0
Almirante,T3,26,0,0
Almirante,T3,19,0,0
Almirante,T3,52,0,0
Almirante,T3,37,0,1
Almirante,T3,24,0,0
Almirante,T3,28,0,0
Almirante,T3,23,0,0
Almirante,T3,27,0,0
Almirante,T3,32,0,0
Almirante,T3,32,0,0
Almirante,T3,41,0,0
Almirante,T3,42,0,0
Almirante,T3,44,0,0
Caracol,T3,16,0,0
Caracol,T3,35,0,1
Caracol,T3,10,0,0
Caracol,T3,27,0,0
Caracol,T3,28,0,0
Caracol,T3,38,0,0
Caracol,T3,0,0,0
Caracol,T3,8,0,0
Caracol,T3,35,0,0
Caracol,T3,20,0,0
Coral Cay,T3,52,5,0
Coral Cay,T3,49,1,8
Coral Cay,T3,77,2,17
Coral Cay,T3,54,0,12
Coral Cay,T3,38,0,27
Coral Cay,T3,4,18,25
Coral Cay,T3,83,0,40
Coral Cay,T3,73,1,24
Coral Cay,T3,7,18,0
Coral Cay,T3,13,1,3
Coral Cay,T3,7,1,3
Hospital Point,T3,20,0,1
Hospital Point,T3,6,8,0
Hospital Point,T3,6,0,78
Hospital Point,T3,3,0,0
Hospital Point,T3,22,0,21
Hospital Point,T3,17,0,0
Hospital Point,T3,5,4,1
Hospital Point,T3,23,3,0
Hospital Point,T3,29,0,5
Hospital Point,T3,11,8,6
Hospital Point,T3,31,0,0
Mainland,T3,62,0,0
Mainland,T3,9,0,33
Mainland,T3,64,0,25
Mainland,T3,43,0,2
Mainland,T3,70,0,8
Mainland,T3,53,0,0
Mainland,T3,67,0,0
Mainland,T3,70,0,5
Mainland,T3,87,0,2
Mainland,T3,40,0,3
Mainland,T3,22,0,0
Pastores,T3,68,0,0
Pastores,T3,57,0,0
Pastores,T3,63,0,1
Pastores,T3,74,0,1
Pastores,T3,62,0,6
Pastores,T3,51,0,1
Pastores,T3,61,0,1
Pastores,T3,50,0,8
Pastores,T3,40,0,3
Pastores,T3,46,0,1
Pastores,T3,37,0,2
Popa,T3,22,12,0
Popa,T3,45,0,2
Popa,T3,63,0,1
Popa,T3,22,0,0
Popa,T3,58,0,0
Popa,T3,66,1,0
Popa,T3,77,0,0
Popa,T3,55,2,0
Popa,T3,37,0,0
Popa,T3,29,0,0
Popa,T3,49,0,0
Punta Juan,T3,20,0,0
Punta Juan,T3,28,6,0
Punta Juan,T3,27,1,0
Punta Juan,T3,24,13,0
Punta Juan,T3,47,0,0
Punta Juan,T3,12,0,0
Punta Juan,T3,15,14,0
Punta Juan,T3,4,36,0
Punta Juan,T3,12,47,0
Punta Juan,T3,24,51,0
Punta Juan,T3,17,12,0
Salt Creek,T3,37,0,0
Salt Creek,T3,28,9,0
Salt Creek,T3,64,0,0
Salt Creek,T3,31,1,0
Salt Creek,T3,30,2,0
Salt Creek,T3,41,0,0
Salt Creek,T3,24,19,0
Salt Creek,T3,65,0,0
Salt Creek,T3,19,0,0
Salt Creek,T3,49,0,0
Salt Creek,T3,12,6,0
STRI,T3,8,0,0
STRI,T3,9,0,0
STRI,T3,26,0,0
STRI,T3,23,0,0
STRI,T3,63,0,0
STRI,T3,24,0,0
STRI,T3,16,0,0
STRI,T3,20,0,0
STRI,T3,31,0,0
STRI,T3,37,0,0
Almirante,T5,18,0,0
Almirante,T5,19,0,0
Almirante,T5,22,0,0
Almirante,T5,23,0,0
Almirante,T5,15,0,0
Almirante,T5,13,0,0
Almirante,T5,30,0,0
Almirante,T5,31,0,0
Almirante,T5,38,0,0
Almirante,T5,51,0,0
Almirante,T5,47,0,0
Almirante,T5,31,0,0
Almirante,T5,37,0,0
Almirante,T5,38,0,0
Almirante,T5,27,0,0
Almirante,T5,36,0,0
Almirante,T5,34,0,0
Almirante,T5,32,0,0
Almirante,T5,45,0,0
Almirante,T5,77,0,0
Caracol,T5,30,0,2
Caracol,T5,19,0,0
Caracol,T5,35,0,2
Caracol,T5,14,0,0
Caracol,T5,29,0,0
Caracol,T5,28,0,0
Caracol,T5,28,0,0
Caracol,T5,0,0,0
Caracol,T5,12,0,0
Caracol,T5,28,0,0
Caracol,T5,8,0,0
Cayo Roldan,T5,28,0,0
Cayo Roldan,T5,38,14,0
Cayo Roldan,T5,35,0,0
Cayo Roldan,T5,20,11,0
Cayo Roldan,T5,33,0,0
Cayo Roldan,T5,21,0,0
Cayo Roldan,T5,14,0,0
Cayo Roldan,T5,47,3,0
Cayo Roldan,T5,39,0,0
Cayo Roldan,T5,21,0,30
Cayo Roldan,T5,37,8,10
Coral Cay,T5,60,4,18
Coral Cay,T5,69,2,8
Coral Cay,T5,68,5,18
Coral Cay,T5,87,0,24
Coral Cay,T5,72,1,42
Coral Cay,T5,24,18,22
Coral Cay,T5,85,0,4
Coral Cay,T5,82,1,0
Coral Cay,T5,68,8,0
Coral Cay,T5,42,2,0
Coral Cay,T5,75,0,0
Hospital Point,T5,50,0,0
Hospital Point,T5,42,12,0
Hospital Point,T5,14,0,0
Hospital Point,T5,72,0,0
Hospital Point,T5,50,1,0
Hospital Point,T5,37,0,0
Hospital Point,T5,42,3,2
Hospital Point,T5,65,2,0
Hospital Point,T5,80,0,0
Hospital Point,T5,54,9,0
Hospital Point,T5,35,0,0
Mainland,T5,10,0,72
Mainland,T5,16,0,0
Mainland,T5,27,6,12
Mainland,T5,19,0,0
Mainland,T5,46,11,0
Mainland,T5,37,0,0
Mainland,T5,19,4,4
Mainland,T5,24,0,10
Mainland,T5,29,33,0
Mainland,T5,21,4,0
Mainland,T5,54,3,0
Pastores,T5,18,0,0
Pastores,T5,33,0,6
Pastores,T5,29,0,6
Pastores,T5,9,0,0
Pastores,T5,19,0,0
Pastores,T5,66,0,0
Pastores,T5,60,0,0
Pastores,T5,59,0,0
Pastores,T5,66,0,0
Pastores,T5,59,0,0
Pastores,T5,46,0,0
Popa,T5,61,10,0
Popa,T5,41,19,0
Popa,T5,20,18,0
Popa,T5,49,0,0
Popa,T5,70,8,0
Popa,T5,46,14,0
Popa,T5,63,1,0
Popa,T5,63,0,0
Popa,T5,37,2,0
Popa,T5,58,0,0
Popa,T5,73,1,0
Punta Juan,T5,53,0,0
Punta Juan,T5,58,3,0
Punta Juan,T5,41,1,0
Punta Juan,T5,49,1,0
Punta Juan,T5,45,0,0
Punta Juan,T5,13,1,0
Punta Juan,T5,15,2,0
Punta Juan,T5,22,1,0
Punta Juan,T5,33,5,0
Punta Juan,T5,27,0,0
Punta Juan,T5,15,0,4
Salt Creek,T5,14,17,0
Salt Creek,T5,9,32,22
Salt Creek,T5,30,39,2
Salt Creek,T5,21,56,28
Salt Creek,T5,29,0,0
Salt Creek,T5,13,11,2
Salt Creek,T5,68,0,0
Salt Creek,T5,44,4,0
STRI,T5,68,0,4
STRI,T5,29,12,52
STRI,T5,53,3,32
STRI,T5,13,3,0
STRI,T5,44,6,18
STRI,T5,41,0,4
STRI,T5,37,0,0
STRI,T5,25,0,2
STRI,T5,37,0,0
STRI,T5,52,0,4
Almirante,T6,2,0,0
Almirante,T6,8,2,0
Almirante,T6,24,4,0
Almirante,T6,16,0,0
Almirante,T6,10,0,0
Almirante,T6,6,2,0
Almirante,T6,8,2,2
Almirante,T6,14,0,0
Almirante,T6,8,0,0
Almirante,T6,42,2,0
Almirante,T6,22,0,0
Almirante,T6,26,4,0
Almirante,T6,10,2,0
Almirante,T6,0,4,0
Almirante,T6,8,0,0
Almirante,T6,12,2,0
Almirante,T6,14,0,0
Almirante,T6,20,0,0
Almirante,T6,36,2,0
Almirante,T6,54,0,0
Caracol,T6,26,0,0
Caracol,T6,10,0,0
Caracol,T6,14,0,0
Caracol,T6,2,0,0
Caracol,T6,24,0,0
Caracol,T6,22,0,0
Caracol,T6,12,0,0
Caracol,T6,0,0,0
Caracol,T6,0,0,0
Caracol,T6,22,0,0
Caracol,T6,2,0,0
Cayo Roldan,T6,44,0,0
Cayo Roldan,T6,40,18,0
Cayo Roldan,T6,26,0,0
Cayo Roldan,T6,22,10,0
Cayo Roldan,T6,48,0,0
Cayo Roldan,T6,20,0,0
Cayo Roldan,T6,28,2,0
Cayo Roldan,T6,54,0,0
Cayo Roldan,T6,36,0,0
Cayo Roldan,T6,10,2,0
Cayo Roldan,T6,12,6,0
Coral Cay,T6,74,0,0
Coral Cay,T6,68,6,36
Coral Cay,T6,62,2,4
Coral Cay,T6,92,0,4
Coral Cay,T6,64,2,10
Coral Cay,T6,6,16,4
Coral Cay,T6,86,0,34
Coral Cay,T6,86,0,38
Coral Cay,T6,54,10,0
Coral Cay,T6,72,4,20
Coral Cay,T6,14,2,0
Hospital Point,T6,18,2,0
Hospital Point,T6,12,14,0
Hospital Point,T6,8,0,0
Hospital Point,T6,68,2,4
Hospital Point,T6,32,0,0
Hospital Point,T6,34,0,0
Hospital Point,T6,44,6,0
Hospital Point,T6,46,2,0
Hospital Point,T6,58,2,0
Hospital Point,T6,52,12,0
Hospital Point,T6,30,2,0
Mainland,T6,8,0,0
Mainland,T6,12,0,0
Mainland,T6,30,0,0
Mainland,T6,20,0,0
Mainland,T6,14,0,0
Mainland,T6,24,0,10
Mainland,T6,4,0,0
Mainland,T6,4,0,0
Mainland,T6,20,0,0
Mainland,T6,4,0,0
Mainland,T6,14,0,0
Pastores,T6,50,0,0
Pastores,T6,42,0,4
Pastores,T6,56,0,0
Pastores,T6,36,0,8
Pastores,T6,30,0,36
Pastores,T6,44,0,16
Pastores,T6,44,0,18
Pastores,T6,26,0,0
Pastores,T6,22,0,0
Pastores,T6,38,0,0
Pastores,T6,26,0,0
Popa,T6,24,18,30
Popa,T6,74,0,0
Popa,T6,56,0,0
Popa,T6,16,2,0
Popa,T6,74,0,0
Popa,T6,28,2,0
Popa,T6,14,0,0
Popa,T6,26,4,0
Popa,T6,32,4,0
Popa,T6,30,0,0
Popa,T6,16,0,0
Popa,T6,42,0,0
Punta Juan,T6,20,2,0
Punta Juan,T6,18,4,0
Punta Juan,T6,12,2,0
Punta Juan,T6,10,10,0
Punta Juan,T6,14,0,0
Punta Juan,T6,8,0,0
Punta Juan,T6,10,44,0
Punta Juan,T6,20,54,10
Punta Juan,T6,4,48,58
Punta Juan,T6,10,58,36
Punta Juan,T6,12,14,0
Salt Creek,T6,30,0,0
Salt Creek,T6,8,16,0
Salt Creek,T6,68,0,0
Salt Creek,T6,4,4,0
Salt Creek,T6,60,6,2
Salt Creek,T6,12,14,0
Salt Creek,T6,12,0,16
Salt Creek,T6,0,2,0
Salt Creek,T6,30,2,2
Salt Creek,T6,10,8,0
STRI,T6,10,0,0
STRI,T6,12,0,0
STRI,T6,18,0,0
STRI,T6,32,0,0
STRI,T6,50,0,0
STRI,T6,26,0,0
STRI,T6,40,0,0
STRI,T6,20,0,0
STRI,T6,36,0,0
STRI,T6,56,0,0
Almirante,T7,3,0,0
Almirante,T7,6,0,0
Almirante,T7,24,0,0
Almirante,T7,16,0,0
Almirante,T7,9,0,0
Almirante,T7,3,0,0
Almirante,T7,9,0,0
Almirante,T7,9,0,0
Almirante,T7,13,0,0
Almirante,T7,43,0,0
Almirante,T7,36,0,0
Almirante,T7,24,0,0
Almirante,T7,9,0,0
Almirante,T7,25,0,0
Almirante,T7,13,0,0
Almirante,T7,23,0,0
Almirante,T7,29,0,0
Almirante,T7,38,0,0
Almirante,T7,70,0,0
Caracol,T7,3,0,0
Caracol,T7,2,0,0
Caracol,T7,3,0,0
Caracol,T7,8,0,0
Caracol,T7,11,0,0
Caracol,T7,7,0,0
Caracol,T7,36,0,0
Caracol,T7,0,0,0
Caracol,T7,1,0,0
Caracol,T7,22,0,0
Caracol,T7,1,0,24
Cayo Roldan,T7,23,3,0
Cayo Roldan,T7,27,19,0
Cayo Roldan,T7,22,0,0
Cayo Roldan,T7,26,2,12
Cayo Roldan,T7,47,0,16
Cayo Roldan,T7,21,0,6
Cayo Roldan,T7,9,1,0
Cayo Roldan,T7,54,2,0
Cayo Roldan,T7,45,0,2
Cayo Roldan,T7,35,3,2
Cayo Roldan,T7,22,11,0
Coral Cay,T7,52,2,0
Coral Cay,T7,40,3,0
Coral Cay,T7,48,4,0
Coral Cay,T7,24,0,0
Coral Cay,T7,36,4,0
Coral Cay,T7,2,24,0
Coral Cay,T7,61,0,0
Coral Cay,T7,69,0,0
Coral Cay,T7,25,12,0
Coral Cay,T7,14,7,0
Coral Cay,T7,1,2,0
Hospital Point,T7,7,0,0
Hospital Point,T7,1,0,0
Hospital Point,T7,5,0,0
Hospital Point,T7,12,0,0
Hospital Point,T7,5,3,0
Hospital Point,T7,3,0,0
Hospital Point,T7,7,6,0
Hospital Point,T7,0,4,0
Hospital Point,T7,5,0,0
Hospital Point,T7,28,14,0
Hospital Point,T7,22,0,0
Mainland,T7,29,0,0
Mainland,T7,33,0,0
Mainland,T7,48,0,0
Mainland,T7,33,0,0
Mainland,T7,30,0,0
Mainland,T7,40,0,0
Mainland,T7,7,0,0
Mainland,T7,7,0,0
Mainland,T7,31,0,0
Mainland,T7,7,0,0
Mainland,T7,21,0,0
Pastores,T7,64,0,0
Pastores,T7,45,0,0
Pastores,T7,86,0,0
Pastores,T7,66,0,0
Pastores,T7,42,0,0
Pastores,T7,52,0,0
Pastores,T7,60,0,0
Pastores,T7,38,0,0
Pastores,T7,36,0,0
Pastores,T7,66,0,0
Pastores,T7,47,0,0
Popa,T7,46,10,0
Popa,T7,64,15,0
Popa,T7,42,5,0
Popa,T7,47,23,0
Popa,T7,16,3,0
Popa,T7,49,3,0
Popa,T7,64,0,0
Popa,T7,45,13,0
Popa,T7,78,3,0
Popa,T7,20,0,0
Popa,T7,41,4,0
Punta Juan,T7,2,23,0
Punta Juan,T7,47,0,0
Punta Juan,T7,3,1,0
Punta Juan,T7,19,0,0
Punta Juan,T7,71,1,0
Punta Juan,T7,81,0,0
Punta Juan,T7,75,0,0
Punta Juan,T7,31,0,0
Punta Juan,T7,57,0,4
Punta Juan,T7,38,2,0
Punta Juan,T7,16,1,0
Salt Creek,T7,29,9,0
Salt Creek,T7,28,8,0
Salt Creek,T7,30,13,0
Salt Creek,T7,42,0,0
Salt Creek,T7,13,0,0
Salt Creek,T7,8,54,0
Salt Creek,T7,16,56,0
Salt Creek,T7,13,52,0
Salt Creek,T7,8,71,0
Salt Creek,T7,11,19,0
Salt Creek,T7,28,0,0
STRI,T7,24,19,0
STRI,T7,63,0,0
STRI,T7,7,10,0
STRI,T7,46,3,0
STRI,T7,50,0,0
STRI,T7,35,14,0
STRI,T7,51,3,0
STRI,T7,6,3,0
STRI,T7,52,0,0
STRI,T7,7,15,0
Almirante,T8,8,0,0
Almirante,T8,18,0,0
Almirante,T8,2,0,0
Almirante,T8,18,0,0
Almirante,T8,14,0,0
Almirante,T8,6,0,0
Almirante,T8,10,0,0
Almirante,T8,10,0,0
Almirante,T8,8,0,0
Almirante,T8,26,4,0
Almirante,T8,30,0,0
Almirante,T8,32,0,0
Almirante,T8,8,0,0
Almirante,T8,12,0,0
Almirante,T8,14,0,0
Almirante,T8,12,0,0
Almirante,T8,2,0,0
Almirante,T8,12,0,0
Almirante,T8,30,0,0
Almirante,T8,34,0,0
Caracol,T8,18,0,0
Caracol,T8,4,0,0
Caracol,T8,10,0,0
Caracol,T8,2,0,0
Caracol,T8,8,0,0
Caracol,T8,16,0,0
Caracol,T8,6,0,0
Caracol,T8,0,0,0
Caracol,T8,0,0,0
Caracol,T8,16,0,0
Caracol,T8,0,0,0
Cayo Roldan,T8,32,0,0
Cayo Roldan,T8,50,10,1
Cayo Roldan,T8,18,4,1
Cayo Roldan,T8,14,12,0
Cayo Roldan,T8,22,4,1
Cayo Roldan,T8,6,2,0
Cayo Roldan,T8,18,2,0
Cayo Roldan,T8,32,2,0
Cayo Roldan,T8,24,0,4
Cayo Roldan,T8,24,4,0
Cayo Roldan,T8,32,10,0
Coral Cay,T8,60,2,4
Coral Cay,T8,56,4,2
Coral Cay,T8,42,2,63
Coral Cay,T8,72,2,0
Coral Cay,T8,40,4,17
Coral Cay,T8,32,8,2
Coral Cay,T8,34,0,4
Coral Cay,T8,48,2,0
Coral Cay,T8,14,2,3
Coral Cay,T8,16,4,5
Coral Cay,T8,12,0,0
Hospital Point,T8,0,0,8
Hospital Point,T8,12,20,24
Hospital Point,T8,12,0,11
Hospital Point,T8,36,0,34
Hospital Point,T8,18,0,12
Hospital Point,T8,36,0,30
Hospital Point,T8,24,2,0
Hospital Point,T8,10,4,3
Hospital Point,T8,24,2,0
Hospital Point,T8,8,16,19
Hospital Point,T8,16,0,51
Mainland,T8,32,0,0
Mainland,T8,34,2,0
Mainland,T8,36,0,4
Mainland,T8,32,0,1
Mainland,T8,32,0,1
Mainland,T8,40,0,0
Mainland,T8,30,0,0
Mainland,T8,20,0,0
Mainland,T8,30,0,0
Mainland,T8,8,0,2
Mainland,T8,36,0,0
Pastores,T8,50,0,0
Pastores,T8,40,0,10
Pastores,T8,58,0,4
Pastores,T8,48,0,2
Pastores,T8,42,0,4
Pastores,T8,40,0,4
Pastores,T8,48,0,3
Pastores,T8,46,0,0
Pastores,T8,38,0,2
Pastores,T8,58,0,0
Pastores,T8,38,0,0
Punta Juan,T8,4,8,7
Punta Juan,T8,18,18,3
Punta Juan,T8,38,14,15
Punta Juan,T8,54,0,5
Punta Juan,T8,12,4,34
Punta Juan,T8,28,28,2
Punta Juan,T8,34,26,0
Punta Juan,T8,6,64,3
Punta Juan,T8,16,10,2
Salt Creek,T8,30,0,5
Salt Creek,T8,0,2,50
Salt Creek,T8,58,0,24
Salt Creek,T8,0,22,4
Salt Creek,T8,40,0,26
Salt Creek,T8,50,2,4
Salt Creek,T8,2,14,1
Salt Creek,T8,6,2,1
Salt Creek,T8,8,6,4
Salt Creek,T8,22,0,2
Salt Creek,T8,0,6,3
STRI,T8,24,0,0
STRI,T8,26,0,3
STRI,T8,6,0,0
STRI,T8,40,0,0
STRI,T8,24,0,0
STRI,T8,38,0,0
STRI,T8,20,0,0
STRI,T8,32,0,0
STRI,T8,40,0,0
STRI,T8,42,0,0
Almirante,T9,22,0,0
Almirante,T9,16,0,0
Almirante,T9,10,0,0
Almirante,T9,38,0,0
Almirante,T9,44,0,0
Almirante,T9,20,0,0
Almirante,T9,20,0,0
Almirante,T9,18,0,0
Almirante,T9,16,0,0
Almirante,T9,40,0,2
Almirante,T9,20,0,0
Almirante,T9,40,0,0
Almirante,T9,26,0,0
Almirante,T9,46,0,2
Almirante,T9,28,0,0
Almirante,T9,4,2,0
Almirante,T9,14,0,0
Almirante,T9,40,0,0
Almirante,T9,14,0,0
Caracol,T9,24,0,0
Caracol,T9,8,0,0
Caracol,T9,18,0,0
Caracol,T9,0,0,0
Caracol,T9,8,0,0
Caracol,T9,10,0,0
Caracol,T9,16,0,0
Caracol,T9,0,0,0
Caracol,T9,2,0,0
Caracol,T9,16,0,0
Caracol,T9,2,0,0
Cayo Roldan,T9,54,2,0
Cayo Roldan,T9,58,10,0
Cayo Roldan,T9,46,0,55
Cayo Roldan,T9,48,10,21
Cayo Roldan,T9,46,2,29
Cayo Roldan,T9,26,0,25
Cayo Roldan,T9,42,0,34
Cayo Roldan,T9,24,0,41
Cayo Roldan,T9,52,0,76
Cayo Roldan,T9,52,0,28
Cayo Roldan,T9,48,6,1
Coral Cay,T9,70,2,3
Coral Cay,T9,58,2,5
Coral Cay,T9,40,8,0
Coral Cay,T9,74,0,3
Coral Cay,T9,66,2,0
Coral Cay,T9,68,8,0
Coral Cay,T9,40,0,0
Coral Cay,T9,30,0,0
Coral Cay,T9,50,0,0
Coral Cay,T9,30,26,0
Coral Cay,T9,66,2,3
Coral Cay,T9,40,0,0
Hospital Point,T9,10,0,0
Hospital Point,T9,2,2,1
Hospital Point,T9,16,0,0
Hospital Point,T9,14,0,91
Hospital Point,T9,0,0,0
Hospital Point,T9,16,0,19
Hospital Point,T9,6,2,0
Hospital Point,T9,10,0,0
Hospital Point,T9,20,0,0
Hospital Point,T9,10,4,5
Hospital Point,T9,24,0,14
Mainland,T9,42,0,0
Mainland,T9,54,0,1
Mainland,T9,56,0,0
Mainland,T9,50,0,2
Mainland,T9,64,0,13
Mainland,T9,56,0,0
Mainland,T9,44,0,28
Mainland,T9,48,0,0
Mainland,T9,34,0,0
Mainland,T9,18,0,0
Mainland,T9,72,0,0
Pastores,T9,26,0,61
Pastores,T9,58,0,0
Pastores,T9,58,0,0
Pastores,T9,54,0,3
Pastores,T9,58,0,0
Pastores,T9,44,0,3
Pastores,T9,54,0,0
Pastores,T9,52,0,0
Pastores,T9,16,0,1
Pastores,T9,58,0,0
Pastores,T9,56,0,1
Popa,T9,34,2,2
Popa,T9,50,0,4
Popa,T9,32,0,0
Popa,T9,42,0,2
Popa,T9,34,0,0
Popa,T9,36,0,11
Popa,T9,58,0,7
Popa,T9,26,0,10
Popa,T9,60,2,0
Popa,T9,60,0,2
Punta Juan,T9,2,8,5
Punta Juan,T9,24,4,5
Punta Juan,T9,34,10,0
Punta Juan,T9,24,22,1
Punta Juan,T9,36,12,0
Punta Juan,T9,54,0,4
Punta Juan,T9,30,4,3
Punta Juan,T9,30,40,0
Punta Juan,T9,20,38,0
Punta Juan,T9,10,52,1
Punta Juan,T9,18,44,1
Punta Juan,T9,20,32,2
Punta Juan,T9,16,2,2
Salt Creek,T9,54,0,4
Salt Creek,T9,26,6,19
Salt Creek,T9,46,0,3
Salt Creek,T9,18,18,16
Salt Creek,T9,32,0,1
Salt Creek,T9,74,2,1
Salt Creek,T9,0,12,0
Salt Creek,T9,0,2,1
Salt Creek,T9,46,12,9
Salt Creek,T9,0,0,33
Salt Creek,T9,8,4,38
STRI,T9,20,0,1
STRI,T9,16,0,19
STRI,T9,14,0,1
STRI,T9,32,0,0
STRI,T9,22,0,0
STRI,T9,32,0,1
STRI,T9,8,0,0
STRI,T9,20,0,11
STRI,T9,36,0,0
STRI,T9,34,0,1